Timestamp,Date,Stablecoins Mcap,Bridged TVL
1709596800000,2024-03-05,666851975,
1709683200000,2024-03-06,674904068,
1709769600000,2024-03-07,676146788,
1709856000000,2024-03-08,674827979,
1709942400000,2024-03-09,677954053,
1710028800000,2024-03-10,684326923,
1710115200000,2024-03-11,687099287,
1710201600000,2024-03-12,687387164,
1710288000000,2024-03-13,689965461,
1710374400000,2024-03-14,691313667,
1710460800000,2024-03-15,692516503,
1710547200000,2024-03-16,692678197,
1710633600000,2024-03-17,700343307,
1710720000000,2024-03-18,701787442,
1710806400000,2024-03-19,702505391,
1710892800000,2024-03-20,715791479,
1710979200000,2024-03-21,717752339,
1711065600000,2024-03-22,732957900,
1711152000000,2024-03-23,741711105,
1711238400000,2024-03-24,752697130,
1711324800000,2024-03-25,751851048,
1711411200000,2024-03-26,753369201,
1711497600000,2024-03-27,767419607,
1711584000000,2024-03-28,780030127,
1711670400000,2024-03-29,799353097,
1711756800000,2024-03-30,798441286,
1711843200000,2024-03-31,810902176,
1711929600000,2024-04-01,809822625,
1712016000000,2024-04-02,829053489,
1712102400000,2024-04-03,846750217,
1712188800000,2024-04-04,845640527,
1712275200000,2024-04-05,858441787,
1712361600000,2024-04-06,874728920,
1712448000000,2024-04-07,873151286,
1712534400000,2024-04-08,885380938,
1712620800000,2024-04-09,884407743,
1712707200000,2024-04-10,888302371,
1712793600000,2024-04-11,900586492,
1712880000000,2024-04-12,900243884,
1712966400000,2024-04-13,934842413,
1713052800000,2024-04-14,944288910,
1713139200000,2024-04-15,956610074,
1713225600000,2024-04-16,959467447,
1713312000000,2024-04-17,963273028,
1713398400000,2024-04-18,744219822,
1713484800000,2024-04-19,757242616,
1713571200000,2024-04-20,761073729,
1713657600000,2024-04-21,987432468,
1713744000000,2024-04-22,989896325,
1713830400000,2024-04-23,983804242,
1713916800000,2024-04-24,998420628,
1714003200000,2024-04-25,1004417804,
1714089600000,2024-04-26,1005161141,
1714176000000,2024-04-27,1004813858,
1714262400000,2024-04-28,1007591136,
1714348800000,2024-04-29,1016885296,
1714435200000,2024-04-30,1018655577,
1714521600000,2024-05-01,1022724233,
1714608000000,2024-05-02,1027408512,
1714694400000,2024-05-03,1028644800,
1714780800000,2024-05-04,1035722554,
1714867200000,2024-05-05,1042861383,
1714953600000,2024-05-06,1044492932,
1715040000000,2024-05-07,1045547373,
1715126400000,2024-05-08,1033108099,
1715212800000,2024-05-09,1034348683,
1715299200000,2024-05-10,1034447318,
1715385600000,2024-05-11,1045142456,
1715472000000,2024-05-12,1039744067,
1715558400000,2024-05-13,1039650748,
1715644800000,2024-05-14,1042299099,
1715731200000,2024-05-15,1041776533,
1715817600000,2024-05-16,1052633290,
1715904000000,2024-05-17,1075110662,
1715990400000,2024-05-18,1075950616,
1716076800000,2024-05-19,1076560104,
